iter	RMSE
0	1419.200639
1	1364.370735
2	1312.885394
3	1265.717865
4	1218.726453
5	1175.905
6	1135.929886
7	1097.730247
8	1063.823383
9	1030.178745
10	998.7960188
11	969.7248523
12	941.5682724
13	915.063762
14	890.963556
15	868.3008716
16	846.905155
17	827.198843
18	808.8665689
19	791.5796595
20	775.6675835
21	761.1695418
22	747.6262841
23	734.7380117
24	722.9861169
25	712.1455169
26	702.3014175
27	693.2699918
28	684.7713795
29	676.7798991
30	669.3634412
31	662.6327495
32	656.3782744
33	650.5724395
34	645.0206548
35	640.0550864
36	635.605599
37	631.3620428
38	627.7041169
39	624.4199151
40	621.5092203
41	618.6109965
42	615.9014422
43	613.480316
44	611.7060976
45	609.5570976
46	607.6405198
47	605.7882464
48	603.9549842
49	602.3656444
50	600.9521788
51	599.6125659
52	598.7303339
53	597.5832321
54	596.6606021
55	595.6836445
56	594.7190262
57	593.7450403
58	592.9663764
59	592.1508226
60	591.4083184
61	590.7392861
62	590.1059307
63	589.4650847
64	588.9292681
65	588.427145
66	587.905181
67	587.4548532
68	586.9587108
69	586.556959
70	586.2126515
71	586.0094711
72	585.7121333
73	585.371886
74	585.0831436
75	584.714965
76	584.4426516
77	584.2349226
78	583.9564558
79	583.7044127
80	583.5674862
81	583.3813926
82	583.1628889
83	582.9864504
84	582.846967
85	582.7225875
86	582.588178
87	582.3864591
88	582.1055519
89	582.0273162
90	581.7001914
91	581.530925
92	581.4250593
93	581.3131686
94	581.228598
95	581.0911939
96	580.9820346
97	580.6212292
98	580.3081296
99	580.2543934
100	580.174543
101	579.9867851
102	579.9213504
103	579.8303443
104	579.80038
105	579.6625754
106	579.5994743
107	579.5323262
108	579.5128659
109	579.4185997
110	579.3680801
111	579.3292952
112	579.2489857
113	579.1980268
114	579.1526245
115	579.1379887
116	579.1090578
117	579.0169754
118	578.9293016
119	578.8888557
120	578.8439137
121	578.7853193
122	578.6573641
123	578.5925467
124	578.5598618
125	578.4812711
126	578.3458026
127	578.3107946
128	578.2314231
129	578.1127957
130	578.0911358
131	578.0499645
132	578.0382239
133	577.9566913
134	577.8595414
135	577.764414
136	577.7369495
137	577.701183
138	577.371816
139	577.2729442
140	577.2175955
141	577.0955995
142	577.0528763
143	577.0319957
144	577.005056
145	576.8685598
146	576.8519493
147	576.8016678
148	576.7105883
149	576.7005271
150	576.6787143
151	576.6277853
152	576.6115727
153	576.5881889
154	576.4903093
155	576.481268
156	576.4681486
157	576.4401418
158	576.4225513
159	576.360271
160	576.3323835
161	576.2221686
162	576.1600457
163	576.1471754
164	576.1294411
165	576.1163098
166	576.1018047
167	576.0901832
168	576.076923
169	576.0273576
170	576.0116074
171	575.9201051
172	575.7959832
173	575.6013189
174	575.4945567
175	575.4732865
176	575.4556193
177	575.3374512
178	575.3310651
179	575.304739
180	575.0108501
181	574.9856128
182	574.9184686
183	574.8944347
184	574.8658329
185	574.8574545
186	574.8338656
187	574.5854531
188	574.5334763
189	574.5256445
190	574.519507
191	574.4972255
192	574.4380527
193	574.3858175
194	574.2985182
195	574.2953937
196	574.2830023
197	574.1187263
198	574.0939338
199	574.0859473
200	574.0531733
201	574.0327988
202	573.7257969
203	573.7228416
204	573.6984825
205	573.6981741
206	573.6919751
207	573.668376
208	573.6230426
209	573.6149397
210	573.60697
211	573.5629349
212	573.5318711
213	573.4730659
214	573.4366887
215	573.4316588
216	573.3694447
217	573.3524455
218	573.3497722
219	573.2080639
220	573.2017083
221	573.1816532
222	572.9701054
223	572.9639979
224	572.9450487
225	572.9317887
226	572.9168238
227	572.9041035
228	572.8778474
229	572.8654886
230	572.8617315
231	572.8398236
232	572.6562723
233	572.5942975
234	572.5110089
235	572.4524366
236	572.4438205
237	572.4404045
238	572.4328147
239	572.4007566
240	572.262131
241	572.1713577
242	572.0928524
243	572.0625167
244	572.0419654
245	571.8826546
246	571.8324135
247	571.8052905
248	571.7894383
249	571.7634886
250	571.7173755
251	571.6554921
252	571.6500789
253	571.620499
254	571.6129031
255	571.6068644
256	571.5810083
257	571.5412229
258	571.5200506
259	571.4964957
260	571.4750117
261	571.4475049
262	571.3639926
263	571.3192516
264	571.2259191
265	570.9585461
266	570.9513082
267	570.8867843
268	570.8857066
269	570.8735667
270	570.8569608
271	570.8355968
