iter	Passed	Remaining
0	197	197139
1	242	121180
2	289	96055
3	338	84264
4	383	76238
5	429	71083
6	472	67085
7	518	64308
8	569	62667
9	618	61185
10	678	61028
11	726	59805
12	768	58312
13	813	57265
14	858	56398
15	902	55512
16	948	54851
17	991	54082
18	1028	53112
19	1071	52519
20	1131	52732
21	1177	52360
22	1222	51928
23	1265	51478
24	1315	51306
25	1357	50866
26	1403	50586
27	1448	50273
28	1492	49957
29	1538	49731
30	1582	49469
31	1626	49214
32	1688	49469
33	1733	49240
34	1781	49131
35	1826	48913
36	1869	48654
37	1911	48403
38	1957	48246
39	2004	48097
40	2041	47747
41	2085	47568
42	2132	47454
43	2176	47281
44	2199	46680
45	2243	46531
46	2288	46400
47	2336	46346
48	2381	46228
49	2427	46129
50	2472	46000
51	2516	45880
52	2546	45509
53	2593	45442
54	2630	45201
55	2674	45090
56	2719	44991
57	2766	44931
58	2810	44832
59	2854	44723
60	2901	44659
61	2944	44553
62	2988	44449
63	3034	44381
64	3078	44286
65	3122	44194
66	3167	44109
67	3213	44039
68	3259	43974
69	3303	43886
70	3347	43795
71	3377	43528
72	3421	43445
73	3464	43346
74	3509	43281
75	3553	43206
76	3596	43115
77	3643	43071
78	3689	43009
79	3737	42975
80	3774	42828
81	3819	42760
82	3867	42726
83	3911	42650
84	3955	42582
85	4001	42532
86	4046	42461
87	4107	42569
88	4154	42529
89	4215	42627
90	4267	42624
91	4310	42542
92	4356	42485
93	4400	42412
94	4449	42382
95	4493	42312
96	4537	42236
97	4582	42175
98	4629	42136
99	4673	42065
100	4720	42012
101	4765	41950
102	4822	41994
103	4883	42074
104	4942	42126
105	4987	42064
106	5084	42433
107	5134	42407
108	5184	42376
109	5227	42298
110	5271	42219
111	5308	42090
112	5352	42016
113	5395	41936
114	5439	41858
115	5453	41562
116	5495	41476
117	5540	41409
118	5582	41331
119	5629	41285
120	5676	41238
121	5726	41211
122	5770	41145
123	5813	41072
124	5858	41009
125	5899	40920
126	5947	40883
127	5996	40847
128	6043	40802
129	6087	40739
130	6129	40657
131	6177	40620
132	6221	40558
133	6265	40489
134	6314	40457
135	6359	40403
136	6407	40363
137	6452	40305
138	6509	40324
139	6557	40281
140	6622	40343
141	6681	40372
142	6730	40337
143	6778	40292
144	6823	40236
145	6867	40167
146	6906	40078
147	6951	40019
