pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,822.757407321945
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,822.5366031029255
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,819.177222224982
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,820.4163882588477
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,820.3989043915903
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,820.3989043915903
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,821.0369652745424
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,822.757407321945
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,822.5366031029255
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,819.177222224982
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,820.4163882588477
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,820.3989043915903
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,820.3989043915903
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,821.0369652745424
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,822.757407321945
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,822.5366031029255
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,819.177222224982
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,820.4163882588477
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,820.3989043915903
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,820.3989043915903
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,821.0369652745424
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,822.757407321945
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,822.5366031029255
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,819.177222224982
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,820.4163882588477
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,820.3989043915903
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,820.3989043915903
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,821.0369652745424
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,822.757407321945
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,822.5366031029255
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,819.177222224982
